audit_id,case_key,behavior,difficulty_bucket,query_ids,queries,scene_name,sample_idx,category_name,validation_score,validation_quality_score,passed,system_event_start_sample_idx,system_event_end_sample_idx,system_event_peak_sample_idx,figure_path,report_dir,semantic_match,primary_actor_correct,behavior_correct,event_window_correct,event_start_sample_idx,event_end_sample_idx,event_peak_sample_idx,confidence,notes
audit_0011,4b933f6dceae4df59410d569beb37bfd:e5fb9bc8abdd4b72a526e1a025e15162,stopped_lead,high_score,stopped_lead_bus,stopped bus blocking ego,scene-0398,25,vehicle.bus.rigid,93.6,93.6,True,23,29,29,../../outputs/trainval_case_library_v1/stopped_bus_blocking_ego/rank_02_scene_0398_sample_025/evidence.png,../../outputs/trainval_case_library_v1/stopped_bus_blocking_ego/rank_02_scene_0398_sample_025,,,,,,,,,
audit_0012,d35eeb6ffde9481ba3c0264152c57f2f:9cce231a15104d2bb345f933898e4d21,crossing,high_score,pedestrian_crossing_front,pedestrian crossing in front of ego lane,scene-0222,17,human.pedestrian.adult,91.46,91.46,True,13,19,17,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_01_scene_0222_sample_017/evidence.png,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_01_scene_0222_sample_017,,,,,,,,,
audit_0013,0bc8de2e16054030862df31f52fd1f00:5cb782060cdc44cab0436512e5e2bb09,proximity,high_score,left_close_vehicle,close vehicle on the left of ego,scene-0043,23,vehicle.car,90.47,90.47,True,19,27,23,../../outputs/trainval_case_library_v1/close_vehicle_on_the_left_of_ego/rank_02_scene_0043_sample_023/evidence.png,../../outputs/trainval_case_library_v1/close_vehicle_on_the_left_of_ego/rank_02_scene_0043_sample_023,,,,,,,,,
audit_0014,022b90e4ad174f848690f010cc06f404:b78750237c66467b9cb4c24ec3c4398e,cut_in,borderline_score,truck_cut_in_from_right,truck cuts in from right side,scene-0921,12,vehicle.truck,89.01,89.01,True,11,13,12,../../outputs/trainval_case_library_v1/truck_cuts_in_from_right_side/rank_01_scene_0921_sample_012/evidence.png,../../outputs/trainval_case_library_v1/truck_cuts_in_from_right_side/rank_01_scene_0921_sample_012,,,,,,,,,
audit_0015,94fc83c54c6f4f48acdca0b2c529c305:b78750237c66467b9cb4c24ec3c4398e,cut_in,borderline_score,truck_cut_in_from_right,truck cuts in from right side,scene-0921,10,vehicle.truck,89.01,89.01,True,11,13,12,../../outputs/trainval_case_library_v1/truck_cuts_in_from_right_side/rank_02_scene_0921_sample_010/evidence.png,../../outputs/trainval_case_library_v1/truck_cuts_in_from_right_side/rank_02_scene_0921_sample_010,,,,,,,,,
audit_0016,45224fd5dde34ac59d8682de6cc59ef2:4ac6acde2e544f26abed23596a78b118,crossing,borderline_score,pedestrian_crossing_front,pedestrian crossing in front of ego lane,scene-0026,3,human.pedestrian.adult,87.63,87.63,True,0,5,3,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_02_scene_0026_sample_003/evidence.png,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_02_scene_0026_sample_003,,,,,,,,,
audit_0017,632a1f8aea9146aaa9c558727da492c7:a745648fa2324541b94aa6e022c4b280,cut_in,borderline_score,right_side_cut_in,vehicle cuts in from right side,scene-0122,16,vehicle.car,86.65,86.65,True,15,17,16,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_01_scene_0122_sample_016/evidence.png,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_01_scene_0122_sample_016,,,,,,,,,
audit_0018,536eeb9e7c8d4556a7aeb4bcde0eba7e:31ee8f4b2d284c3a99d8649973281683,crossing,borderline_score,cyclist_crossing_front,cyclist crossing the ego path in front,scene-0419,13,vehicle.bicycle,86.59,86.59,True,9,14,13,../../outputs/trainval_case_library_v1/cyclist_crossing_the_ego_path_in_front/rank_01_scene_0419_sample_013/evidence.png,../../outputs/trainval_case_library_v1/cyclist_crossing_the_ego_path_in_front/rank_01_scene_0419_sample_013,,,,,,,,,
audit_0019,8cc06390249d4895b5b9b860f0952f24:6b04180e41cf473c92c1bc1059c3bca8,cut_in,borderline_score,left_side_cut_in,vehicle cuts in from left side,scene-1100,35,vehicle.car,86.55,86.55,True,35,37,37,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_left_side/rank_01_scene_1100_sample_035/evidence.png,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_left_side/rank_01_scene_1100_sample_035,,,,,,,,,
audit_0020,358fbd910e3f47dbaf9d8dc09dca02e1:2d6ea8b13e2844a8b7e2f3e71bfcd606,crossing,borderline_score,pedestrian_crossing_tight_gap,pedestrian crossing very close in front of ego,scene-0719,21,human.pedestrian.adult,86.14,86.14,True,17,25,21,../../outputs/trainval_case_library_v1/pedestrian_crossing_very_close_in_front_of_ego/rank_01_scene_0719_sample_021/evidence.png,../../outputs/trainval_case_library_v1/pedestrian_crossing_very_close_in_front_of_ego/rank_01_scene_0719_sample_021,,,,,,,,,
audit_0021,5b20b7b7a4c24a5c8363a7ef17d82825:762d483b73654b158cd2b050dd2e60a2,crossing,borderline_score,cyclist_crossing_front,cyclist crossing the ego path in front,scene-0184,26,vehicle.bicycle,85.59,85.59,True,23,28,26,../../outputs/trainval_case_library_v1/cyclist_crossing_the_ego_path_in_front/rank_02_scene_0184_sample_026/evidence.png,../../outputs/trainval_case_library_v1/cyclist_crossing_the_ego_path_in_front/rank_02_scene_0184_sample_026,,,,,,,,,
audit_0022,117da90271d34d1ab98031124f507819:70d6b186a9d74004872a4aafb0b0c277,cut_in,borderline_score,left_side_cut_in,vehicle cuts in from left side,scene-0072,18,vehicle.car,85.41,85.41,True,17,19,18,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_left_side/rank_02_scene_0072_sample_018/evidence.png,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_left_side/rank_02_scene_0072_sample_018,,,,,,,,,
audit_0023,08461b5c6f364b1aa0549f44f84ac3be:ddf5942930ab463fbaf402fa52d0c9bc,oncoming,borderline_score,oncoming_close_vehicle,oncoming vehicle close to ego,scene-1067,25,vehicle.car,85.27,85.27,True,21,25,25,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_01_scene_1067_sample_025/evidence.png,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_01_scene_1067_sample_025,,,,,,,,,
audit_0024,331fa27d969c420597348566ae423e15:388990067e0f4fabbae3b52d18282979,oncoming,borderline_score,oncoming_close_vehicle,oncoming vehicle close to ego,scene-1061,4,vehicle.car,85.01,85.01,True,0,4,4,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_02_scene_1061_sample_004/evidence.png,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_02_scene_1061_sample_004,,,,,,,,,
audit_0025,214326b2bca0478d85c9eb80f01f4ff1:7693f6b392f044699aaa0c7a1c6da2a5,oncoming,borderline_score,oncoming_close_truck,oncoming truck close to ego,scene-0367,7,vehicle.truck,84.97,84.97,True,3,7,7,../../outputs/trainval_case_library_v1/oncoming_truck_close_to_ego/rank_01_scene_0367_sample_007/evidence.png,../../outputs/trainval_case_library_v1/oncoming_truck_close_to_ego/rank_01_scene_0367_sample_007,,,,,,,,,
audit_0026,d70f041998ca465991f1675a79483092:fba1f3467c45425599569a1a85f1d947,oncoming,borderline_score,oncoming_close_bus,oncoming bus close to ego,scene-1016,38,vehicle.bus.rigid,84.87,84.87,True,34,38,38,../../outputs/trainval_case_library_v1/oncoming_bus_close_to_ego/rank_01_scene_1016_sample_038/evidence.png,../../outputs/trainval_case_library_v1/oncoming_bus_close_to_ego/rank_01_scene_1016_sample_038,,,,,,,,,
audit_0027,887e6f18b1b341d9b55bc4289c2e0388:812f8c323624487cbb27e1e697fe1428,oncoming,borderline_score,oncoming_close_vehicle,oncoming vehicle close to ego,scene-1066,39,vehicle.car,84.83,84.83,True,35,39,39,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_03_scene_1066_sample_039/evidence.png,../../outputs/trainval_case_library_v1/oncoming_vehicle_close_to_ego/rank_03_scene_1066_sample_039,,,,,,,,,
audit_0028,46206bae0bdc4babacb67e41296ea7b2:a6466184a8fd4ff794feb1b4573f57bb,oncoming,borderline_score,oncoming_close_truck,oncoming truck close to ego,scene-1050,21,vehicle.truck,84.83,84.83,True,17,21,21,../../outputs/trainval_case_library_v1/oncoming_truck_close_to_ego/rank_02_scene_1050_sample_021/evidence.png,../../outputs/trainval_case_library_v1/oncoming_truck_close_to_ego/rank_02_scene_1050_sample_021,,,,,,,,,
audit_0029,3e754ecf5f1c4b00ad637c4046731412:c550e3a39d134660990ebbe3e31fd75a,crossing,borderline_score,pedestrian_crossing_tight_gap,pedestrian crossing very close in front of ego,scene-1053,19,human.pedestrian.adult,84.6,84.6,True,15,20,19,../../outputs/trainval_case_library_v1/pedestrian_crossing_very_close_in_front_of_ego/rank_02_scene_1053_sample_019/evidence.png,../../outputs/trainval_case_library_v1/pedestrian_crossing_very_close_in_front_of_ego/rank_02_scene_1053_sample_019,,,,,,,,,
audit_0030,c5c737b50cf84feb97cba50280fee645:21f35543d5e74ab88ef7f6d735d4511c,oncoming,borderline_score,oncoming_close_bus,oncoming bus close to ego,scene-0915,27,vehicle.bus.rigid,84.36,84.36,True,23,27,27,../../outputs/trainval_case_library_v1/oncoming_bus_close_to_ego/rank_02_scene_0915_sample_027/evidence.png,../../outputs/trainval_case_library_v1/oncoming_bus_close_to_ego/rank_02_scene_0915_sample_027,,,,,,,,,
audit_0031,5517935cc35e47c0a2b04c85a56a5528:b4e9209c733c46508528b363298a6b42,crossing,not_validation_passed,pedestrian_crossing_front,pedestrian crossing in front of ego lane,scene-0250,33,human.pedestrian.adult,67.77,67.77,False,30,34,33,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_03_scene_0250_sample_033/evidence.png,../../outputs/trainval_case_library_v1/pedestrian_crossing_in_front_of_ego_lane/rank_03_scene_0250_sample_033,,,,,,,,,
audit_0032,132b32f4efdd43daa600d759711f4a7c:9035c61dbffc4558a782d4db79017bcd,cut_in,not_validation_passed,right_side_cut_in,vehicle cuts in from right side,scene-0998,14,vehicle.car,64.9,64.9,False,13,15,14,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_02_scene_0998_sample_014/evidence.png,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_02_scene_0998_sample_014,,,,,,,,,
audit_0033,cd689319f5494f88b321f9955813ded2:9035c61dbffc4558a782d4db79017bcd,cut_in,not_validation_passed,right_side_cut_in,vehicle cuts in from right side,scene-0998,13,vehicle.car,64.9,64.9,False,13,15,14,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_03_scene_0998_sample_013/evidence.png,../../outputs/trainval_case_library_v1/vehicle_cuts_in_from_right_side/rank_03_scene_0998_sample_013,,,,,,,,,
